customer_id,recency_days,frequency,monetary_total,avg_order_value,tenure_days,delivery_share,avg_items_per_order,item_diversity,tip_rate,modifiers_per_order,lapsed
205,46,8,173.61,21.701250,315,0.00000,1.6250,5,0.023155,0.5000,1
206,3,22,832.92,37.860000,358,0.36364,2.7727,25,0.030615,1.5909,0
207,25,5,198.45,39.690000,336,0.80000,2.0000,4,0.118418,3.4000,0
208,78,4,147.02,36.755000,283,1.00000,2.5000,5,0.075704,0.7500,0
209,1,202,5984.03,29.623911,360,0.02970,2.5198,83,0.091413,1.8267,0
210,6,43,1254.52,29.174884,355,0.16279,1.8837,24,0.027190,2.1860,0
211,19,6,256.90,42.816667,342,0.00000,2.3333,7,0.102413,2.6667,0
212,9,14,375.32,26.808571,352,0.00000,1.9286,14,0.023580,1.4286,0
213,83,5,231.43,46.286000,278,0.60000,5.4000,9,0.086419,4.4000,0
218,23,13,350.48,26.960000,338,0.69231,2.0000,9,0.008560,1.3077,0
220,49,8,380.85,47.606250,312,0.50000,2.5000,8,0.075620,4.1250,1
221,75,7,281.84,40.262857,286,0.00000,2.0000,7,0.005322,0.0000,1
222,24,9,170.14,18.904444,337,0.00000,2.0000,12,0.000000,1.7778,0
223,1,65,1675.56,25.777846,360,0.15385,2.4769,38,0.032228,1.2462,0
224,37,9,337.86,37.540000,324,0.22222,3.5556,22,0.000000,3.0000,0
227,12,7,181.37,25.910000,349,0.00000,1.5714,10,0.000000,2.0000,0
228,38,6,230.19,38.365000,323,0.83333,2.5000,12,0.091229,2.1667,0
229,30,13,416.67,32.051538,331,0.00000,1.6154,12,0.021600,0.7692,0
231,2,5,95.23,19.046000,359,0.00000,1.2000,2,0.000000,1.0000,0
233,2,18,255.67,14.203889,358,0.22222,2.3333,11,0.017796,0.5556,0
237,81,7,294.25,42.035714,279,0.14286,3.4286,14,0.021852,3.5714,0
239,25,10,267.50,26.750000,335,0.00000,1.0000,1,0.000000,0.0000,0
240,18,56,1535.18,27.413929,342,1.00000,3.4643,17,0.014331,2.5000,0
243,49,5,312.44,62.488000,311,0.00000,3.6000,7,0.000000,0.4000,0
244,17,12,1022.24,85.186667,343,1.00000,4.1667,4,0.094890,0.6667,0
246,2,28,559.88,19.995714,358,0.03571,1.9643,8,0.000000,0.3571,0
248,3,18,486.58,27.032222,357,0.00000,2.1111,7,0.000000,2.0556,0
250,3,60,1194.80,19.913333,357,0.00000,2.4667,50,0.020455,0.8333,0
252,2,56,1545.86,27.604643,358,0.89286,2.0000,21,0.004528,4.9464,0
253,3,18,1600.73,88.929444,357,1.00000,4.8333,23,0.115972,5.0000,0
254,32,15,815.64,54.376000,328,1.00000,2.4000,7,0.085822,2.3333,0
255,68,8,219.88,27.485000,292,0.00000,2.0000,7,0.000000,2.5000,0
256,2,18,807.32,44.851111,358,0.38889,2.6111,16,0.000000,2.0000,0
257,87,7,436.87,62.410000,273,1.00000,3.4286,18,0.000000,0.4286,1
259,1,8,263.66,32.957500,359,0.12500,3.0000,15,0.022757,2.8750,1
261,41,9,403.52,44.835556,319,0.44444,3.2222,11,0.154144,1.8889,0
